p
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 1,nombre: Tech Supplies Co.})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 2,nombre: Electro World})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 3,nombre: Office Solutions})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 4,nombre: Gadget Pro})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 5,nombre: Home Appliances Inc.})"
"(:Producto {precio: 25.0,idProducto: 6,nombre: Ratón})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 6,nombre: Digital Accessories})"
"(:Producto {precio: 60.0,idProducto: 7,nombre: Auriculares})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 7,nombre: Furniture Hub})"
"(:Producto {precio: 150.0,idProducto: 8,nombre: Impresora})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 8,nombre: Kitchen Essentials})"
"(:Producto {precio: 500.0,idProducto: 9,nombre: Cámara})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 9,nombre: Sound Masters})"
"(:Producto {precio: 200.0,idProducto: 10,nombre: Smartwatch})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 10,nombre: Vision Electronics})"
"(:Producto {precio: 75.0,idProducto: 11,nombre: Altavoz Bluetooth})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 11,nombre: Smart Home Innovations})"
"(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 12,nombre: Techno Solutions})"
"(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 14,nombre: Mobile Accessories Ltd.})"
"(:Producto {precio: 15.0,idProducto: 14,nombre: USB 64GB})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 13,nombre: Outdoor Gear Co.})"
"(:Producto {precio: 120.0,idProducto: 15,nombre: Silla de Oficina})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 15,nombre: Fashion Tech Supplies})"
"(:Producto {precio: 200.0,idProducto: 16,nombre: Escritorio})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 1,nombre: Tech Supplies Co.})"
"(:Producto {precio: 100.0,idProducto: 17,nombre: Microondas})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 2,nombre: Electro World})"
"(:Producto {precio: 600.0,idProducto: 18,nombre: Refrigerador})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 3,nombre: Office Solutions})"
"(:Producto {precio: 80.0,idProducto: 19,nombre: Cafetera})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 4,nombre: Gadget Pro})"
"(:Producto {precio: 1000.0,idProducto: 20,nombre: Televisión})-[:DISTRIBUIDO_POR]->(:Proveedor {idProveedor: 5,nombre: Home Appliances Inc.})"
