n
"(:direccion {barrio: la estrellaa,ubicacion: calle 8 #23-280,codigoPostal: 2226516,id: 1})"
"(:direccion {barrio: la hermita,ubicacion: calle 58 #73-208,codigoPostal: 35346816,id: 2})"
"(:direccion {barrio: San Isidro,ubicacion: Carrera 12 #34-56,codigoPostal: 4526214,id: 3})"
"(:direccion {barrio: Villa Esperanza,ubicacion: Calle 45 #67-12,codigoPostal: 1125647,id: 4})"
"(:direccion {barrio: Ciudad Jardín,ubicacion: Avenida 6 #45-78,codigoPostal: 6542136,id: 5})"
"(:direccion {barrio: Santa Marta,ubicacion: Calle 10 #15-90,codigoPostal: 3214567,id: 6})"
"(:direccion {barrio: Bello Horizonte,ubicacion: Carrera 17 #56-34,codigoPostal: 9876543,id: 7})"
"(:direccion {barrio: La Merced,ubicacion: Calle 18 #42-23,codigoPostal: 2345612,id: 8})"
"(:direccion {barrio: Monte Carlo,ubicacion: Carrera 22 #78-56,codigoPostal: 7634215,id: 9})"
"(:direccion {barrio: Prado Verde,ubicacion: Calle 9 #12-45,codigoPostal: 1243568,id: 10})"
"(:direccion {barrio: La Florida,ubicacion: Avenida 33 #25-47,codigoPostal: 5463721,id: 11})"
"(:direccion {barrio: El Mirador,ubicacion: Calle 3 #56-78,codigoPostal: 1123457,id: 12})"
"(:direccion {barrio: Los Nogales,ubicacion: Carrera 29 #67-89,codigoPostal: 9987452,id: 13})"
"(:direccion {barrio: Norte Grande,ubicacion: Calle 28 #14-35,codigoPostal: 1342569,id: 14})"
"(:direccion {barrio: Altos del Pino,ubicacion: Avenida 40 #23-56,codigoPostal: 2345678,id: 15})"
"(:direccion {barrio: San Fernando,ubicacion: Carrera 15 #12-45,codigoPostal: 8765431,id: 16})"
"(:direccion {barrio: Campo Verde,ubicacion: Calle 31 #45-78,codigoPostal: 6745231,id: 17})"
"(:direccion {barrio: La Candelaria,ubicacion: Avenida 5 #67-89,codigoPostal: 4321567,id: 18})"
"(:direccion {barrio: Los Robles,ubicacion: Calle 12 #23-45,codigoPostal: 7564312,id: 19})"
"(:direccion {barrio: Las Palmas,ubicacion: Carrera 19 #34-56,codigoPostal: 1256734,id: 20})"
"(:direccion {barrio: las delicias,ubicacion: calle 32 #55-26,codigoPostal: 321616,id: 26})"
"(:direccion {barrio: samanes,ubicacion: carrea 23 #23-58,codigoPostal: 1361651,id: 23})"
