n
"(:Proveedor {idProveedor: 1,nombre: Tech Supplies Co.})"
"(:Proveedor {idProveedor: 2,nombre: Electro World})"
"(:Proveedor {idProveedor: 3,nombre: Office Solutions})"
"(:Proveedor {idProveedor: 4,nombre: Gadget Pro})"
"(:Proveedor {idProveedor: 5,nombre: Home Appliances Inc.})"
"(:Proveedor {idProveedor: 6,nombre: Digital Accessories})"
"(:Proveedor {idProveedor: 7,nombre: Furniture Hub})"
"(:Proveedor {idProveedor: 8,nombre: Kitchen Essentials})"
"(:Proveedor {idProveedor: 9,nombre: Sound Masters})"
"(:Proveedor {idProveedor: 10,nombre: Vision Electronics})"
"(:Proveedor {idProveedor: 11,nombre: Smart Home Innovations})"
"(:Proveedor {idProveedor: 12,nombre: Techno Solutions})"
"(:Proveedor {idProveedor: 13,nombre: Outdoor Gear Co.})"
"(:Proveedor {idProveedor: 14,nombre: Mobile Accessories Ltd.})"
"(:Proveedor {idProveedor: 15,nombre: Fashion Tech Supplies})"
